year,country,country_code,infant_mortality_rate,isRegion
1984,Montenegro,MNE,25.1,
1985,Montenegro,MNE,22.7,
1986,Montenegro,MNE,20.6,
1987,Montenegro,MNE,18.8,
1988,Montenegro,MNE,17.2,
1989,Montenegro,MNE,15.9,
1990,Montenegro,MNE,14.9,
1991,Montenegro,MNE,14.3,
1992,Montenegro,MNE,13.9,
1993,Montenegro,MNE,13.6,
1994,Montenegro,MNE,13.6,
1995,Montenegro,MNE,13.5,
1996,Montenegro,MNE,13.5,
1997,Montenegro,MNE,13.4,
1998,Montenegro,MNE,13.2,
1999,Montenegro,MNE,12.9,
2000,Montenegro,MNE,12.5,
2001,Montenegro,MNE,12,
2002,Montenegro,MNE,11.4,
2003,Montenegro,MNE,10.6,
2004,Montenegro,MNE,9.9,
2005,Montenegro,MNE,9.2,
2006,Montenegro,MNE,8.4,
2007,Montenegro,MNE,7.7,
2008,Montenegro,MNE,7,
2009,Montenegro,MNE,6.3,
2010,Montenegro,MNE,5.7,
2011,Montenegro,MNE,5.1,
2012,Montenegro,MNE,4.6,
2013,Montenegro,MNE,4.1,
2014,Montenegro,MNE,3.7,
2015,Montenegro,MNE,3.3,
2016,Montenegro,MNE,3,
2017,Montenegro,MNE,2.6,
2018,Montenegro,MNE,2.4,
2019,Montenegro,MNE,2.1,
2020,Montenegro,MNE,2,
1985,Nauru,NRU,62.9,
1986,Nauru,NRU,60.4,
1987,Nauru,NRU,57.9,
1988,Nauru,NRU,55.5,
1989,Nauru,NRU,53.3,
1990,Nauru,NRU,51.1,
1991,Nauru,NRU,48.9,
1992,Nauru,NRU,46.8,
1993,Nauru,NRU,44.8,
1994,Nauru,NRU,42.9,
1995,Nauru,NRU,41.2,
1996,Nauru,NRU,39.5,
1997,Nauru,NRU,38,
1998,Nauru,NRU,36.6,
1999,Nauru,NRU,35.4,
2000,Nauru,NRU,34.3,
2001,Nauru,NRU,33.3,
2002,Nauru,NRU,32.6,
2003,Nauru,NRU,32,
2004,Nauru,NRU,31.6,
2005,Nauru,NRU,31.3,
2006,Nauru,NRU,31.3,
2007,Nauru,NRU,31.3,
2008,Nauru,NRU,31.2,
2009,Nauru,NRU,31,
2010,Nauru,NRU,30.6,
2011,Nauru,NRU,30.1,
2012,Nauru,NRU,29.5,
2013,Nauru,NRU,28.9,
2014,Nauru,NRU,28.2,
2015,Nauru,NRU,27.4,
2016,Nauru,NRU,26.7,
2017,Nauru,NRU,26,
2018,Nauru,NRU,25.3,
2019,Nauru,NRU,24.6,
2020,Nauru,NRU,23.8,
1968,Myanmar,MMR,123,
1969,Myanmar,MMR,120.7,
1970,Myanmar,MMR,118.8,
1971,Myanmar,MMR,116.8,
1972,Myanmar,MMR,114.7,
1973,Myanmar,MMR,112.5,
1974,Myanmar,MMR,110.5,
1975,Myanmar,MMR,108.3,
1976,Myanmar,MMR,106.2,
1977,Myanmar,MMR,104.1,
1978,Myanmar,MMR,101.9,
1979,Myanmar,MMR,100,
1980,Myanmar,MMR,98.1,
1981,Myanmar,MMR,96.2,
1982,Myanmar,MMR,94.5,
1983,Myanmar,MMR,92.8,
1984,Myanmar,MMR,91.2,
1985,Myanmar,MMR,89.6,
1986,Myanmar,MMR,88.2,
1987,Myanmar,MMR,86.6,
1988,Myanmar,MMR,85,
1989,Myanmar,MMR,83.4,
1990,Myanmar,MMR,81.8,
1991,Myanmar,MMR,80.2,
1992,Myanmar,MMR,78.5,
1993,Myanmar,MMR,76.7,
1994,Myanmar,MMR,75,
1995,Myanmar,MMR,73.3,
1996,Myanmar,MMR,71.6,
1997,Myanmar,MMR,70,
1998,Myanmar,MMR,68.4,
1999,Myanmar,MMR,66.9,
2000,Myanmar,MMR,65.4,
2001,Myanmar,MMR,63.8,
2002,Myanmar,MMR,62.3,
2003,Myanmar,MMR,60.7,
2004,Myanmar,MMR,59.1,
2005,Myanmar,MMR,57.4,
2006,Myanmar,MMR,55.8,
2007,Myanmar,MMR,54.1,
2008,Myanmar,MMR,63.4,
2009,Myanmar,MMR,50.5,
2010,Myanmar,MMR,48.8,
2011,Myanmar,MMR,47,
2012,Myanmar,MMR,45.4,
2013,Myanmar,MMR,43.8,
2014,Myanmar,MMR,42.3,
2015,Myanmar,MMR,41,
2016,Myanmar,MMR,39.7,
2017,Myanmar,MMR,38.5,
2018,Myanmar,MMR,37.2,
2019,Myanmar,MMR,36.1,
2020,Myanmar,MMR,35,
1960,Nepal,NPL,218.2,
1961,Nepal,NPL,215.5,
1962,Nepal,NPL,212.3,
1963,Nepal,NPL,208.5,
1964,Nepal,NPL,204.2,
1965,Nepal,NPL,199.7,
1966,Nepal,NPL,195,
1967,Nepal,NPL,190.4,
1968,Nepal,NPL,185.9,
1969,Nepal,NPL,181.5,
1970,Nepal,NPL,177.5,
1971,Nepal,NPL,173.6,
1972,Nepal,NPL,169.9,
1973,Nepal,NPL,166.2,
1974,Nepal,NPL,162.6,
1975,Nepal,NPL,158.9,
1976,Nepal,NPL,155.3,
1977,Nepal,NPL,151.5,
1978,Nepal,NPL,147.5,
1979,Nepal,NPL,143.5,
1980,Nepal,NPL,139.4,
1981,Nepal,NPL,135.3,
1982,Nepal,NPL,131.2,
1983,Nepal,NPL,127,
1984,Nepal,NPL,122.8,
1985,Nepal,NPL,118.6,
1986,Nepal,NPL,114.4,
1987,Nepal,NPL,110.1,
1988,Nepal,NPL,105.6,
1989,Nepal,NPL,101.1,
1990,Nepal,NPL,96.5,
1991,Nepal,NPL,92.1,
1992,Nepal,NPL,87.7,
1993,Nepal,NPL,83.5,
1994,Nepal,NPL,79.5,
1995,Nepal,NPL,75.7,
1996,Nepal,NPL,72,
1997,Nepal,NPL,68.5,
1998,Nepal,NPL,65.1,
1999,Nepal,NPL,61.8,
2000,Nepal,NPL,58.7,
2001,Nepal,NPL,55.8,
2002,Nepal,NPL,53.1,
2003,Nepal,NPL,50.6,
2004,Nepal,NPL,48.2,
2005,Nepal,NPL,45.9,
2006,Nepal,NPL,43.8,
2007,Nepal,NPL,41.9,
2008,Nepal,NPL,40.1,
2009,Nepal,NPL,38.3,
2010,Nepal,NPL,36.6,
2011,Nepal,NPL,35,
2012,Nepal,NPL,33.5,
